conceptID,conceptLabel
1,Ethics
2,Moral Philosophy
3,Values
4,Right and Wrong
5,Data
6,Evidence
7,Objectivity
8,Critical Thinking
9,Bias
10,Systems
11,Causation
12,Correlation
13,Variables
14,Measurement
15,Quantification
16,Classical Ethics
17,Virtue Ethics
18,Deontology
19,Utilitarianism
20,Applied Ethics
21,Professional Ethics
22,Digital Ethics
23,Data Ethics
24,Ethical Dilemmas
25,Moral Reasoning
26,Data-Driven Ethics
27,Quantitative Frameworks
28,Evidence-Based Analysis
29,Empirical Methods
30,Statistical Analysis
31,Data Collection
32,Data Quality
33,Data Sources
34,Primary Sources
35,Secondary Sources
36,Sampling Bias
37,Selection Bias
38,Survivorship Bias
39,Response Bias
40,Confirmation Bias
41,Publication Bias
42,Reporting Bias
43,Source Credibility
44,Data Validation
45,Triangulation
46,Informed Consent
47,Privacy Protection
48,Data Transparency
49,Reproducibility
50,Peer Review
